File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
38a1b0b8-9906-48ed-b521-7de299839932	0263a550-8b66-4884-b014-99501112741d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-60-2696	TCGA-60-2696-01A	Primary Tumor
97251c11-8b66-497e-9271-2a5e62f9dab1	0d08b39e-cc2e-4262-a8cc-06c644ab5039.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-1017	TCGA-22-1017-01A	Primary Tumor
082d40e4-e934-448e-b9ee-16d66b2dfa6d	c1a0244b-d1df-4457-b21d-14006133525a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-1078	TCGA-21-1078-01A	Primary Tumor
3276f1c7-fc8d-4aeb-83d3-c2a976a3375d	b0546d5c-875e-4086-9155-7ac41b92ba52.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-37-4133	TCGA-37-4133-01A	Primary Tumor
d9c800bd-7ad9-448c-b72d-42128727139b	2fa4738b-04ba-4d04-b95a-1f9b08cba802.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-3417	TCGA-18-3417-01A	Primary Tumor
19c3a4e5-581a-4d5b-95ac-47aa9572ad3b	f93bcfae-3bc7-40db-9df0-e8d11662f8e3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-L3-A524	TCGA-L3-A524-01A	Primary Tumor
8af947e1-808b-48d3-a89e-ba9c55e9e7a2	2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-4591	TCGA-22-4591-01A	Primary Tumor
ff32c018-6238-4821-8f55-d310d313d56d	2029581a-86cd-4ea2-82d4-0e085ae1f8f9.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-63-6202	TCGA-63-6202-01A	Primary Tumor
7ae19156-72a9-44ce-9a8a-92c631b4b819	c74afc42-b589-4aa6-8ead-b7cdc36c63fa.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-63-A5MP	TCGA-63-A5MP-01A	Primary Tumor
8e638b3d-d0c9-4e4d-abb0-3b607f53232d	3e6a57fd-0683-48a6-b3cb-32510c49ff2e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-90-7766	TCGA-90-7766-01A	Primary Tumor
f98ce8c5-1895-40db-af13-e61b855fad70	5222324c-4f9b-4568-a2eb-9d0d6adf2d3b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-33-AASI	TCGA-33-AASI-01A	Primary Tumor
a500e80b-660c-4757-8179-6a692599bdc4	02ba8296-3982-4e29-8823-403ab580dee8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-58-A46L	TCGA-58-A46L-01A	Primary Tumor
